05:55:52 , SENSOR 2
05:55:52 , window_factor 3.81
05:55:52 , sensitivity high
05:55:53 , target (50000) , 50781.25
05:55:53 , threshold (30000) , 31250.00
05:55:53 , 
05:55:53 , Sensor, Temp , F_sens , F_ref, Rech_Count
05:55:53 , 2 , 106 , 47748 , 42652 , 1000010
05:55:54 , 2 , 106 , 47740 , 42644 , 1000010
05:55:55 , 2 , 106 , 47744 , 42648 , 1000010
05:55:56 , 2 , 106 , 47748 , 42648 , 1000010
05:55:57 , 2 , 106 , 47752 , 42655 , 1000010
05:55:58 , 2 , 106 , 47737 , 42648 , 1000010
05:55:59 , 2 , 106 , 47737 , 42648 , 1000010
05:56:00 , 2 , 106 , 47740 , 42648 , 1000010
05:56:01 , 2 , 106 , 47733 , 42648 , 1000010
05:56:02 , 2 , 106 , 47737 , 42644 , 1000010
05:56:03 , 2 , 106 , 47737 , 42644 , 1000010
05:56:04 , 2 , 106 , 47740 , 42644 , 1000010
05:56:05 , 2 , 106 , 47740 , 42640 , 1000010
05:56:06 , 2 , 106 , 47737 , 42648 , 1000010
05:56:07 , 2 , 106 , 47737 , 42648 , 1000010
