05:43:26 , SENSOR 2
05:43:26 , window_factor 3.81
05:43:26 , sensitivity high
05:43:27 , target (50000) , 50781.25
05:43:27 , threshold (30000) , 31250.00
05:43:27 , 
05:43:27 , Sensor, Temp , F_sens , F_ref, Rech_Count
05:43:27 , 2 , 106 , 47885 , 42690 , 0
05:43:28 , 2 , 105 , 47889 , 42694 , 0
05:43:29 , 2 , 106 , 47889 , 42697 , 0
05:43:30 , 2 , 106 , 47889 , 42690 , 0
05:43:31 , 2 , 106 , 47874 , 42686 , 0
05:43:32 , 2 , 106 , 47885 , 42686 , 0
05:43:33 , 2 , 106 , 47882 , 42686 , 0
05:43:34 , 2 , 106 , 47893 , 42686 , 0
05:43:35 , 2 , 106 , 47882 , 42686 , 0
05:43:36 , 2 , 106 , 47885 , 42694 , 0
05:43:37 , 2 , 106 , 47882 , 42690 , 0
05:43:38 , 2 , 106 , 47889 , 42697 , 0
05:43:39 , 2 , 106 , 47889 , 42690 , 0
05:43:40 , 2 , 106 , 47885 , 42694 , 0
